id,category,subcategory,text_core
A01,study,習慣,勉強を始めるときは、一番簡単な1問から入ると集中しやすい。
A02,study,習慣,5分だけでもいい。「とりあえず始める」が一番むずかしい。
A03,study,習慣,全部やろうとせず、1日の到達点を決めるだけで心が軽くなる。
A04,study,習慣,学習習慣は毎日同じ時間に1問だけで作れる。
A05,study,習慣,朝の3分は夜の10分より効果が高いことがある。
A06,study,習慣,イヤな日はタイマー1分でもOK。
A07,study,習慣,続けるコツは切り上げポイントを早めに作ること。
A08,study,習慣,終わりが見えると行動しやすい。区切りを細かく。
A09,study,習慣,疲れた日は知識より図や資料を見ると入りやすい。
A10,study,習慣,調子が悪い日があるからこそ、伸びる日が生まれる。
A01,study,記憶,復習は3日後が最も効果的。
A02,study,記憶,できた問題を1週間後に解くと定着が強くなる。
A03,study,記憶,間違えた問題は理由を言語化すると忘れにくい。
A04,study,記憶,似た問題は何が違うか探すと理解が深い。
A05,study,記憶,音読は記憶に残りやすい方法のひとつ。
A06,study,記憶,語句は書くより声に出すほうが覚えやすい。
A07,study,記憶,復習は覚えていないところだけやる。
A08,study,記憶,30個一気より3個×10セットの方が定着する。
A09,study,記憶,分かったつもりは説明すると確認できる。
A10,study,記憶,覚えにくい言葉は図や写真とセットで覚える。
A01,study,考え方,問題は読み方が9割。読む順番を決めると安定する。
A02,study,考え方,難問は何を比べる問題か考えると突破口が開く。
A03,study,考え方,分からない問題は図を描くと進む。
A04,study,考え方,頭の中だけで考えず書くと混乱が消える。
A05,study,考え方,文章を読んだら出てきた語句を3つ書くと整理できる。
A06,study,考え方,文章が長いときは最初の1文で半分理解できる。
A07,study,考え方,正解を当てるより不正解を消す方が楽。
A08,study,考え方,自分の言葉に言い換えられたら理解できている証拠。
A09,study,考え方,理由を理解すると忘れにくい。
A10,study,考え方,解く順番を固定すると安定感が増す。
A01,study,メンタル,今日はつらい、があるから昨日より成長できる。
A02,study,メンタル,完璧主義より60点主義の方が伸びる。
A03,study,メンタル,間違えた理由は責めず、直し方だけを考える。
A04,study,メンタル,進まない日は少しだけ進めば十分。
A05,study,メンタル,勉強は積むより続けるほうが難しいが続ける人が勝つ。
A06,study,メンタル,ライバルは他人ではなく昨日の自分。
A07,study,メンタル,本番が近づくほどできない問題に出会うのは普通。
A08,study,メンタル,不安は行動でしか薄れない。1分だけ取り組む。
A09,study,メンタル,落ち込むのは本気で頑張っている証拠。
A10,study,メンタル,自分を応援できるようになると勉強は楽になる。
B01,society,地理,地図を読むときは色→記号→文字の順に見ると整理しやすい。
B02,society,地理,気候は年較差を見るだけで7割つかめる。
B03,society,地理,統計は増えているか減っているかの2分で理解する。
B04,society,地理,工業地域は海沿い・川沿い・高速沿いが多い。
B05,society,地理,農産物は気候・地形・消費地の3つで説明できる。
B06,society,地理,人口の多い都市は交通の結び目に集まる。
B07,society,地理,気候区分は降水量の差に注目すると判断しやすい。
B08,society,地理,川は流域面積を見ると暮らしの特徴が見える。
B09,society,地理,港に物流が集まるのは島国の特徴。
B10,society,地理,寒暖流の色を見ると海洋国の特色が理解できる。
B11,society,地理,凡例を見れば8割分かる。まず凡例から。
B12,society,地理,山や川の名前は地域の境界線であることが多い。
B13,society,地理,農業は輸送・機械化・高齢化の3問題を押さえる。
B14,society,地理,地理の文章は比較している場所に線を引くと理解が進む。
B15,society,地理,地理は理由の教科。「なぜ？」から読むと整う。
B01,society,歴史,歴史は時代のつながりを意識すると人物の役割が分かる。
B02,society,歴史,資料は誰が何をしているかの2点を見る。
B03,society,歴史,年号より前後の出来事をつなげる方が定着する。
B04,society,歴史,政治の中心が移るのは交通・経済・軍事のどれかが理由。
B05,society,歴史,資料には書かれていない情報こそ重要。
B06,society,歴史,文化は誰が支えたかで理解が深まる。
B07,society,歴史,戦いの勝敗は地形・兵力・戦術で整理すると分かりやすい。
B08,society,歴史,時代の特色はくらし・政治・外国関係の3つで整理。
B09,society,歴史,人物はその人が残した変化を言語化すると覚えやすい。
B10,society,歴史,宗教はなぜ広がったかを考えると理解できる。
B11,society,歴史,幕府の場所が変わる＝権力の中心が移る。
B12,society,歴史,古代→中世→近世→近代は土地→商業→産業→国際の流れ。
B13,society,歴史,戦国は地形と城に注目すると理解しやすい。
B14,society,歴史,明治の改革は江戸の習慣をどう変えたかで見ると本質が分かる。
B15,society,歴史,その時代の人が何に困っていたかを考えると理解が深まる。
B01,society,公民,公民は誰が決めるかで整理できる（国会・内閣・裁判所・住民）。
B02,society,公民,権利は自由→乱用→制限→公共の福祉で整理すると理解しやすい。
B03,society,公民,国会は法律を作り、内閣は実行し、裁判所は判断する。
B04,society,公民,三権分立はけん制し合う仕組み。
B05,society,公民,憲法はなぜその権利が必要だったかを考えると覚えやすい。
B06,society,公民,地方自治は住民が主役であることを忘れない。
B07,society,公民,税金は誰が負担・どう集める・どう使うで整理できる。
B08,society,公民,政治参加は選挙以外に身近な意見表明も含まれる。
B09,society,公民,国際問題は利害・歴史・地理の3つで整理できる。
B10,society,公民,公民は覚える教科ではなく考える教科。理由で説明しよう。
C01,science,物理,光は反射角＝入射角を書くと整理できる。
C02,science,物理,影は光源・物体・スクリーンの距離で決まる。
C03,science,物理,電気は直列と並列のつながり方が最重要。
C04,science,物理,電流は分かれ、電圧はそろう。
C05,science,物理,音の大きさは振幅、高さは振動数。
C06,science,物理,力は矢印を書いてから考える。
C07,science,物理,てこは力点・支点・作用点の位置をまず書く。
C08,science,物理,ばねの伸びは力に比例する。
C09,science,物理,電熱線は電流が大きいほど熱くなる。
C10,science,物理,電磁石は電流の向きと巻き方で決まる。
C01,science,化学,水溶液は気体・色・固まり方の3つで判別できる。
C02,science,化学,酸性・中性・アルカリ性はBTB液の色を固定すると分かる。
C03,science,化学,状態変化は平らな部分が溶けている時間。
C04,science,化学,溶ける量は温度に比例。例外は水酸化ナトリウム。
C05,science,化学,重さは変わらない。形は変わっても質量は一定。
C06,science,化学,気体の集め方は重い・軽い・溶けやすいで判断。
C07,science,化学,結晶は規則正しい並び方の証拠。
C08,science,化学,濃さは溶けている量÷全体の量。
C09,science,化学,蒸発はどこでも、沸騰は一定温度。
C10,science,化学,化学変化は温度・色・気体・固体の4つで見抜ける。
C01,science,生物,光合成は二酸化炭素→酸素、呼吸は酸素→二酸化炭素。
C02,science,生物,葉は気孔・葉脈・葉肉の3語が最重要。
C03,science,生物,根は水を吸うだけでなく体を支える。
C04,science,生物,食物連鎖は矢印の向きが大事。
C05,science,生物,血液は心臓→肺→心臓の往復が基本。
C06,science,生物,肺はガス交換、腎臓はろ過が役割。
C07,science,生物,植物の成長は日光・水・温度の3条件。
C08,science,生物,脊椎動物は魚→両生→爬虫→鳥→哺乳の順。
C09,science,生物,細胞は核＝指令、細胞質＝働き手、膜＝扉。
C10,science,生物,消化は分解のイメージ。デンプン→ブドウ糖。
C01,science,地学,天気図は気圧の谷と山を見ると変化が分かる。
C02,science,地学,気温と湿度は空気の量は一定を前提に比較。
C03,science,地学,季節風は夏＝海→陸、冬＝陸→海。
C04,science,地学,前線は雨→風向き→気温の変化で読む。
C05,science,地学,地層は下ほど古い。逆転は押し上げを疑う。
C06,science,地学,化石は生息場所と時代のヒント。
C07,science,地学,火山は火山灰・溶岩・火山ガスの性質を押さえる。
C08,science,地学,星は東→西へ動く。1日と1年の動きを分ける。
C09,science,地学,南中高度は季節と緯度で決まる。
C10,science,地学,地震はP波→S波の順で届く。
