id,baseId,tone,category,subcategory,appFeature,message
A01_cynical,A01,cynical,study,習慣,"calendar,character_comment",勉強を始めるときは、一番簡単な1問から入ると集中しやすい。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A01_encourage,A01,encourage,study,習慣,"calendar,character_comment",勉強を始めるときは、一番簡単な1問から入ると集中しやすい。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A02_cynical,A02,cynical,study,習慣,"calendar,character_comment",5分だけでもいい。「とりあえず始める」が一番むずかしい。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A02_encourage,A02,encourage,study,習慣,"calendar,character_comment",5分だけでもいい。「とりあえず始める」が一番むずかしい。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A03_cynical,A03,cynical,study,習慣,"calendar,character_comment",全部やろうとせず、1日の到達点を決めるだけで心が軽くなる。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A03_encourage,A03,encourage,study,習慣,"calendar,character_comment",全部やろうとせず、1日の到達点を決めるだけで心が軽くなる。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A04_cynical,A04,cynical,study,習慣,"calendar,character_comment",学習習慣は毎日同じ時間に1問だけで作れる。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A04_encourage,A04,encourage,study,習慣,"calendar,character_comment",学習習慣は毎日同じ時間に1問だけで作れる。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A05_cynical,A05,cynical,study,習慣,"calendar,character_comment",朝の3分は夜の10分より効果が高いことがある。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A05_encourage,A05,encourage,study,習慣,"calendar,character_comment",朝の3分は夜の10分より効果が高いことがある。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A06_cynical,A06,cynical,study,習慣,"calendar,character_comment",イヤな日はタイマー1分でもOK。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A06_encourage,A06,encourage,study,習慣,"calendar,character_comment",イヤな日はタイマー1分でもOK。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A07_cynical,A07,cynical,study,習慣,"calendar,character_comment",続けるコツは切り上げポイントを早めに作ること。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A07_encourage,A07,encourage,study,習慣,"calendar,character_comment",続けるコツは切り上げポイントを早めに作ること。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A08_cynical,A08,cynical,study,習慣,"calendar,character_comment",終わりが見えると行動しやすい。区切りを細かく。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A08_encourage,A08,encourage,study,習慣,"calendar,character_comment",終わりが見えると行動しやすい。区切りを細かく。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A09_cynical,A09,cynical,study,習慣,"calendar,character_comment",疲れた日は知識より図や資料を見ると入りやすい。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A09_encourage,A09,encourage,study,習慣,"calendar,character_comment",疲れた日は知識より図や資料を見ると入りやすい。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A10_cynical,A10,cynical,study,習慣,"calendar,character_comment",調子が悪い日があるからこそ、伸びる日が生まれる。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A10_encourage,A10,encourage,study,習慣,"calendar,character_comment",調子が悪い日があるからこそ、伸びる日が生まれる。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A01_cynical,A01,cynical,study,記憶,"review_pocket,remember_mode",復習は3日後が最も効果的。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A01_encourage,A01,encourage,study,記憶,"review_pocket,remember_mode",復習は3日後が最も効果的。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A02_cynical,A02,cynical,study,記憶,"review_pocket,remember_mode",できた問題を1週間後に解くと定着が強くなる。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A02_encourage,A02,encourage,study,記憶,"review_pocket,remember_mode",できた問題を1週間後に解くと定着が強くなる。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A03_cynical,A03,cynical,study,記憶,"review_pocket,remember_mode",間違えた問題は理由を言語化すると忘れにくい。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A03_encourage,A03,encourage,study,記憶,"review_pocket,remember_mode",間違えた問題は理由を言語化すると忘れにくい。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A04_cynical,A04,cynical,study,記憶,"review_pocket,remember_mode",似た問題は何が違うか探すと理解が深い。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A04_encourage,A04,encourage,study,記憶,"review_pocket,remember_mode",似た問題は何が違うか探すと理解が深い。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A05_cynical,A05,cynical,study,記憶,"review_pocket,remember_mode",音読は記憶に残りやすい方法のひとつ。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A05_encourage,A05,encourage,study,記憶,"review_pocket,remember_mode",音読は記憶に残りやすい方法のひとつ。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A06_cynical,A06,cynical,study,記憶,"review_pocket,remember_mode",語句は書くより声に出すほうが覚えやすい。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A06_encourage,A06,encourage,study,記憶,"review_pocket,remember_mode",語句は書くより声に出すほうが覚えやすい。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A07_cynical,A07,cynical,study,記憶,"review_pocket,remember_mode",復習は覚えていないところだけやる。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A07_encourage,A07,encourage,study,記憶,"review_pocket,remember_mode",復習は覚えていないところだけやる。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A08_cynical,A08,cynical,study,記憶,"review_pocket,remember_mode",30個一気より3個×10セットの方が定着する。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A08_encourage,A08,encourage,study,記憶,"review_pocket,remember_mode",30個一気より3個×10セットの方が定着する。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A09_cynical,A09,cynical,study,記憶,"review_pocket,remember_mode",分かったつもりは説明すると確認できる。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A09_encourage,A09,encourage,study,記憶,"review_pocket,remember_mode",分かったつもりは説明すると確認できる。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A10_cynical,A10,cynical,study,記憶,"review_pocket,remember_mode",覚えにくい言葉は図や写真とセットで覚える。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A10_encourage,A10,encourage,study,記憶,"review_pocket,remember_mode",覚えにくい言葉は図や写真とセットで覚える。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A01_cynical,A01,cynical,study,考え方,wakaru_diagram,問題は読み方が9割。読む順番を決めると安定する。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A01_encourage,A01,encourage,study,考え方,wakaru_diagram,問題は読み方が9割。読む順番を決めると安定する。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A02_cynical,A02,cynical,study,考え方,wakaru_diagram,難問は何を比べる問題か考えると突破口が開く。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A02_encourage,A02,encourage,study,考え方,wakaru_diagram,難問は何を比べる問題か考えると突破口が開く。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A03_cynical,A03,cynical,study,考え方,wakaru_diagram,分からない問題は図を描くと進む。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A03_encourage,A03,encourage,study,考え方,wakaru_diagram,分からない問題は図を描くと進む。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A04_cynical,A04,cynical,study,考え方,wakaru_diagram,頭の中だけで考えず書くと混乱が消える。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A04_encourage,A04,encourage,study,考え方,wakaru_diagram,頭の中だけで考えず書くと混乱が消える。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A05_cynical,A05,cynical,study,考え方,wakaru_diagram,文章を読んだら出てきた語句を3つ書くと整理できる。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A05_encourage,A05,encourage,study,考え方,wakaru_diagram,文章を読んだら出てきた語句を3つ書くと整理できる。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A06_cynical,A06,cynical,study,考え方,wakaru_diagram,文章が長いときは最初の1文で半分理解できる。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A06_encourage,A06,encourage,study,考え方,wakaru_diagram,文章が長いときは最初の1文で半分理解できる。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A07_cynical,A07,cynical,study,考え方,wakaru_diagram,正解を当てるより不正解を消す方が楽。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A07_encourage,A07,encourage,study,考え方,wakaru_diagram,正解を当てるより不正解を消す方が楽。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A08_cynical,A08,cynical,study,考え方,wakaru_diagram,自分の言葉に言い換えられたら理解できている証拠。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A08_encourage,A08,encourage,study,考え方,wakaru_diagram,自分の言葉に言い換えられたら理解できている証拠。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A09_cynical,A09,cynical,study,考え方,wakaru_diagram,理由を理解すると忘れにくい。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A09_encourage,A09,encourage,study,考え方,wakaru_diagram,理由を理解すると忘れにくい。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A10_cynical,A10,cynical,study,考え方,wakaru_diagram,解く順番を固定すると安定感が増す。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A10_encourage,A10,encourage,study,考え方,wakaru_diagram,解く順番を固定すると安定感が増す。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A01_cynical,A01,cynical,study,メンタル,character_comment,今日はつらい、があるから昨日より成長できる。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A01_encourage,A01,encourage,study,メンタル,character_comment,今日はつらい、があるから昨日より成長できる。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A02_cynical,A02,cynical,study,メンタル,character_comment,完璧主義より60点主義の方が伸びる。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A02_encourage,A02,encourage,study,メンタル,character_comment,完璧主義より60点主義の方が伸びる。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A03_cynical,A03,cynical,study,メンタル,character_comment,間違えた理由は責めず、直し方だけを考える。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A03_encourage,A03,encourage,study,メンタル,character_comment,間違えた理由は責めず、直し方だけを考える。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A04_cynical,A04,cynical,study,メンタル,character_comment,進まない日は少しだけ進めば十分。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A04_encourage,A04,encourage,study,メンタル,character_comment,進まない日は少しだけ進めば十分。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A05_cynical,A05,cynical,study,メンタル,character_comment,勉強は積むより続けるほうが難しいが続ける人が勝つ。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A05_encourage,A05,encourage,study,メンタル,character_comment,勉強は積むより続けるほうが難しいが続ける人が勝つ。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A06_cynical,A06,cynical,study,メンタル,character_comment,ライバルは他人ではなく昨日の自分。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A06_encourage,A06,encourage,study,メンタル,character_comment,ライバルは他人ではなく昨日の自分。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A07_cynical,A07,cynical,study,メンタル,character_comment,本番が近づくほどできない問題に出会うのは普通。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A07_encourage,A07,encourage,study,メンタル,character_comment,本番が近づくほどできない問題に出会うのは普通。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A08_cynical,A08,cynical,study,メンタル,character_comment,不安は行動でしか薄れない。1分だけ取り組む。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A08_encourage,A08,encourage,study,メンタル,character_comment,不安は行動でしか薄れない。1分だけ取り組む。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A09_cynical,A09,cynical,study,メンタル,character_comment,落ち込むのは本気で頑張っている証拠。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A09_encourage,A09,encourage,study,メンタル,character_comment,落ち込むのは本気で頑張っている証拠。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A10_cynical,A10,cynical,study,メンタル,character_comment,自分を応援できるようになると勉強は楽になる。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A10_encourage,A10,encourage,study,メンタル,character_comment,自分を応援できるようになると勉強は楽になる。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
B01_cynical,B01,cynical,society,地理,wakaru_map,地図を読むときは色→記号→文字の順に見ると整理しやすい。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
B01_encourage,B01,encourage,society,地理,wakaru_map,地図を読むときは色→記号→文字の順に見ると整理しやすい。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
B02_cynical,B02,cynical,society,地理,wakaru_map,気候は年較差を見るだけで7割つかめる。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
B02_encourage,B02,encourage,society,地理,wakaru_map,気候は年較差を見るだけで7割つかめる。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
B03_cynical,B03,cynical,society,地理,wakaru_map,統計は増えているか減っているかの2分で理解する。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
B03_encourage,B03,encourage,society,地理,wakaru_map,統計は増えているか減っているかの2分で理解する。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
B04_cynical,B04,cynical,society,地理,wakaru_map,工業地域は海沿い・川沿い・高速沿いが多い。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
B04_encourage,B04,encourage,society,地理,wakaru_map,工業地域は海沿い・川沿い・高速沿いが多い。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
B05_cynical,B05,cynical,society,地理,wakaru_map,農産物は気候・地形・消費地の3つで説明できる。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
B05_encourage,B05,encourage,society,地理,wakaru_map,農産物は気候・地形・消費地の3つで説明できる。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
B06_cynical,B06,cynical,society,地理,wakaru_map,人口の多い都市は交通の結び目に集まる。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
B06_encourage,B06,encourage,society,地理,wakaru_map,人口の多い都市は交通の結び目に集まる。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
B07_cynical,B07,cynical,society,地理,wakaru_map,気候区分は降水量の差に注目すると判断しやすい。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
B07_encourage,B07,encourage,society,地理,wakaru_map,気候区分は降水量の差に注目すると判断しやすい。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
B08_cynical,B08,cynical,society,地理,wakaru_map,川は流域面積を見ると暮らしの特徴が見える。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
B08_encourage,B08,encourage,society,地理,wakaru_map,川は流域面積を見ると暮らしの特徴が見える。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
B09_cynical,B09,cynical,society,地理,wakaru_map,港に物流が集まるのは島国の特徴。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
B09_encourage,B09,encourage,society,地理,wakaru_map,港に物流が集まるのは島国の特徴。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
B10_cynical,B10,cynical,society,地理,wakaru_map,寒暖流の色を見ると海洋国の特色が理解できる。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
B10_encourage,B10,encourage,society,地理,wakaru_map,寒暖流の色を見ると海洋国の特色が理解できる。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
B11_cynical,B11,cynical,society,地理,wakaru_map,凡例を見れば8割分かる。まず凡例から。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
B11_encourage,B11,encourage,society,地理,wakaru_map,凡例を見れば8割分かる。まず凡例から。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
B12_cynical,B12,cynical,society,地理,wakaru_map,山や川の名前は地域の境界線であることが多い。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
B12_encourage,B12,encourage,society,地理,wakaru_map,山や川の名前は地域の境界線であることが多い。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
B13_cynical,B13,cynical,society,地理,wakaru_map,農業は輸送・機械化・高齢化の3問題を押さえる。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
B13_encourage,B13,encourage,society,地理,wakaru_map,農業は輸送・機械化・高齢化の3問題を押さえる。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
B14_cynical,B14,cynical,society,地理,wakaru_map,地理の文章は比較している場所に線を引くと理解が進む。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
B14_encourage,B14,encourage,society,地理,wakaru_map,地理の文章は比較している場所に線を引くと理解が進む。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
B15_cynical,B15,cynical,society,地理,wakaru_map,地理は理由の教科。「なぜ？」から読むと整う。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
B15_encourage,B15,encourage,society,地理,wakaru_map,地理は理由の教科。「なぜ？」から読むと整う。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
B01_cynical,B01,cynical,society,歴史,wakaru_source,歴史は時代のつながりを意識すると人物の役割が分かる。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
B01_encourage,B01,encourage,society,歴史,wakaru_source,歴史は時代のつながりを意識すると人物の役割が分かる。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
B02_cynical,B02,cynical,society,歴史,wakaru_source,資料は誰が何をしているかの2点を見る。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
B02_encourage,B02,encourage,society,歴史,wakaru_source,資料は誰が何をしているかの2点を見る。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
B03_cynical,B03,cynical,society,歴史,wakaru_source,年号より前後の出来事をつなげる方が定着する。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
B03_encourage,B03,encourage,society,歴史,wakaru_source,年号より前後の出来事をつなげる方が定着する。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
